Record #:  1
Notes :
gain 6 zorye running

12/11/20259:37:55 pm
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
84.506464E-3	5.389690E-3	12.112665E-3	-369.809341E-3	-400.000000E-3	220.353508E-3	104.219866E-3	-400.000000E-3
84.504032E-3	5.390167E-3	12.096834E-3	-369.807625E-3	-400.000000E-3	220.353174E-3	104.220104E-3	-400.000000E-3
84.502029E-3	5.389500E-3	12.096643E-3	-369.800425E-3	-400.000000E-3	220.354033E-3	104.218149E-3	-400.000000E-3
84.500217E-3	5.380869E-3	12.091589E-3	-369.778919E-3	-400.000000E-3	220.371532E-3	104.233313E-3	-400.000000E-3
84.500122E-3	5.384922E-3	12.089205E-3	-369.772291E-3	-400.000000E-3	220.377922E-3	104.232931E-3	-400.000000E-3
84.501743E-3	5.372477E-3	12.078238E-3	-369.772911E-3	-400.000000E-3	220.378780E-3	104.225302E-3	-400.000000E-3
84.500933E-3	5.366325E-3	12.057829E-3	-369.761086E-3	-400.000000E-3	220.388699E-3	104.236031E-3	-400.000000E-3
84.498787E-3	5.377483E-3	12.061644E-3	-369.770622E-3	-400.000000E-3	220.376348E-3	104.227686E-3	-400.000000E-3
84.495687E-3	5.371857E-3	12.061882E-3	-369.752741E-3	-400.000000E-3	220.388794E-3	104.241991E-3	-400.000000E-3
84.495211E-3	5.374861E-3	12.043905E-3	-369.762468E-3	-400.000000E-3	220.377827E-3	104.229593E-3	-400.000000E-3
84.493160E-3	5.337524E-3	12.004280E-3	-369.773626E-3	-400.000000E-3	220.363188E-3	104.212666E-3	-400.000000E-3
84.491444E-3	5.335617E-3	11.997032E-3	-369.737816E-3	-400.000000E-3	220.396090E-3	104.240465E-3	-400.000000E-3
84.487915E-3	5.337048E-3	12.007141E-3	-369.724607E-3	-400.000000E-3	220.408630E-3	104.247856E-3	-400.000000E-3
84.486198E-3	5.324078E-3	12.007618E-3	-369.713640E-3	-400.000000E-3	220.427036E-3	104.262543E-3	-400.000000E-3
84.485340E-3	5.329418E-3	11.994314E-3	-369.721937E-3	-400.000000E-3	220.432568E-3	104.265118E-3	-400.000000E-3
84.487152E-3	5.323505E-3	11.977577E-3	-369.706059E-3	-400.000000E-3	220.461321E-3	104.289007E-3	-400.000000E-3
84.486914E-3	5.312824E-3	11.973763E-3	-369.683599E-3	-400.000000E-3	220.491552E-3	104.315424E-3	-400.000000E-3
84.484196E-3	5.309534E-3	11.964607E-3	-369.692087E-3	-400.000000E-3	220.483446E-3	104.310226E-3	-400.000000E-3
84.481525E-3	5.326891E-3	11.974430E-3	-369.706678E-3	-400.000000E-3	220.461512E-3	104.292583E-3	-400.000000E-3
84.479809E-3	5.305719E-3	11.963081E-3	-369.684362E-3	-400.000000E-3	220.478868E-3	104.310942E-3	-400.000000E-3
84.477377E-3	5.315828E-3	11.965895E-3	-369.649363E-3	-400.000000E-3	220.517206E-3	104.346371E-3	-400.000000E-3
84.477234E-3	5.299664E-3	11.963081E-3	-369.624424E-3	-400.000000E-3	220.547295E-3	104.377604E-3	-400.000000E-3
84.480715E-3	5.279255E-3	11.939430E-3	-369.620275E-3	-400.000000E-3	220.557499E-3	104.383898E-3	-400.000000E-3
84.485817E-3	5.271482E-3	11.922789E-3	-369.615364E-3	-400.000000E-3	220.568037E-3	104.389000E-3	-400.000000E-3
84.487343E-3	5.258989E-3	11.919546E-3	-369.600153E-3	-400.000000E-3	220.585346E-3	104.402208E-3	-400.000000E-3
84.483528E-3	5.257416E-3	11.933136E-3	-369.572020E-3	-400.000000E-3	220.607042E-3	104.422474E-3	-400.000000E-3
84.477329E-3	5.265284E-3	11.948538E-3	-369.521952E-3	-400.000000E-3	220.645475E-3	104.458952E-3	-400.000000E-3
84.473372E-3	5.258894E-3	11.963892E-3	-369.478416E-3	-400.000000E-3	220.684481E-3	104.495430E-3	-400.000000E-3
84.472179E-3	5.268764E-3	11.969423E-3	-369.480848E-3	-400.000000E-3	220.682430E-3	104.491043E-3	-400.000000E-3
84.469986E-3	5.254316E-3	11.954117E-3	-369.490433E-3	-400.000000E-3	220.671654E-3	104.481983E-3	-400.000000E-3
